preset,phase,seeds,queries,recall_at_k,recall_seed_sd,precision_at_k,context_efficiency,context_efficiency_seed_sd,redundancy,pollution,pollution_c,pollution_m,pollution_m_seed_sd,mean_c,mean_m,max_m,max_m_seed_sd,mean_tension_depth,scissors_gap,n_promote,n_demote,n_merge,n_evict,n_archive,n_revive,n_tension,n_resolve
abl_no_shadow,conflict,10,1569,0.9018483110261313,0.030760054824922937,0.5413159908186687,0.5413159908186687,0.05579076701792223,0.0,0.4974404193803139,0.52951141327292,0.0,0.0,103.3425,7.9375,8,0.0,1.30375,0.953709800422525,108,5,13,102,2432,24,56,45
abl_no_dedup,all,10,4310,0.9023201856148492,0.015521170963582043,0.7812374447569305,0.7812374447569305,0.04697015586065773,0.0,0.27487207214874365,0.27733189582107914,0.03439201451905626,0.033757876855037866,105.30454545454545,1.6781818181818182,7,1.7795130420052185,93.18181818181819,0.2092812591702019,98,84,3470,0,2520,16,11381,8981
abl_no_dedup,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9529170931422722,0.9529170931422722,0.047840431214608486,0.0,0.0,0.0,0.0,0.0,31.215,0.9466666666666667,6,1.776388345929897,33.85166666666667,nan,25,3,384,0,0,0,1346,711
abl_no_dedup,drift,10,722,0.9307479224376731,0.048090508271748274,0.9056603773584906,0.9056603773584906,0.06409196042933403,0.0,0.10226965473593516,0.09827189223523748,0.16196581196581197,0.19008138868185936,46.51,2.0925,5,1.247219128924647,69.07,-0.041696486500985196,18,19,605,0,27,3,1347,1326
abl_no_dedup,noise,10,840,0.9892857142857143,0.017014530998172805,0.7373558118899733,0.7373558118899733,0.09269420761154001,0.0,0.6465268964159705,0.6568703249823149,0.0,0.0,165.615,2.52,7,1.9119507199599983,67.7,0.22931113965279937,29,16,575,0,33,4,1399,1323
abl_no_dedup,conflict,10,1569,0.9273422562141491,0.020024633126536313,0.6824577861163227,0.6824577861163227,0.06619780365368731,0.0,0.3811563327429062,0.38474494002941517,0.0,0.0,160.11375,1.59875,7,1.7511900715418263,162.47625,0.33029120392059214,26,46,1906,0,2460,9,7289,5621
abl_selected_credit,all,10,4310,0.8923433874709977,0.012455779506630217,0.6223300970873786,0.6223300970873786,0.04796598499119171,0.00032362459546930733,0.3900449142917206,0.395839746812042,0.13909968438270326,0.03005577707563539,70.13545454545455,6.210909090909091,8,0.0,1.2872727272727273,0.3992114267490965,2403,5,73,2289,2374,44,148,132
abl_selected_credit,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9548717948717949,0.9548717948717949,0.05465298128891641,0.0,0.0,0.0,0.0,0.0,11.59,2.7016666666666667,8,1.66332999331662,0.0,nan,64,0,0,3,1,0,0,0
abl_selected_credit,drift,10,722,0.9265927977839336,0.042464227595811095,0.8654592496765847,0.8654592496765847,0.08798909695101026,0.0,0.08216668670658946,0.0015524267399267399,0.2650029761904762,0.061181475624386084,14.865,6.67,8,0.699205898780101,3.89,-1.3426957898314518,64,3,50,27,15,9,83,63
abl_selected_credit,noise,10,840,0.9892857142857143,0.017014530998172805,0.7232375979112271,0.7232375979112271,0.09621327059051442,0.0,0.7999106807881369,0.8565759324561192,0.025714285714285717,0.025699882981460653,131.3225,7.47,8,0.31622776601683794,0.545,0.9139341261504937,206,2,9,191,18,11,7,23
